Round,Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under
AFC Wild Card,Sat,Jan 9 2016,4:35,,Kansas City Chiefs (5),W 30-0,W -3,@,Houston Texans (4),U 40
AFC Wild Card,Sat,Jan 9 2016,8:15,,Pittsburgh Steelers (6),W 18-16,L -2.5,@,Cincinnati Bengals (3),U 45
NFC Wild Card,Sun,Jan 10 2016,1:05,,Seattle Seahawks (6),W 10-9,L -4.5,@,Minnesota Vikings (3),U 40
NFC Wild Card,Sun,Jan 10 2016,4:42,@,Washington Redskins (4),L 18-35,L -1,,Green Bay Packers (5),O 46
AFC Divisional,Sat,Jan 16 2016,4:35,@,New England Patriots (2),W 27-20,W -6,,Kansas City Chiefs (5),O 43
NFC Divisional,Sat,Jan 16 2016,8:15,@,Arizona Cardinals (2),W 26-20 (OT),L -7,,Green Bay Packers (5),U 49
NFC Divisional,Sun,Jan 17 2016,1:06,@,Carolina Panthers (1),W 31-24,W -2.5,,Seattle Seahawks (6),O 44
AFC Divisional,Sun,Jan 17 2016,4:40,@,Denver Broncos (1),W 23-16,L -7.5,,Pittsburgh Steelers (6),U 41
AFC Championship,Sun,Jan 24 2016,3:05,,New England Patriots (2),L 18-20,L -3,@,Denver Broncos (1),U 44.5
NFC Championship,Sun,Jan 24 2016,6:42,@,Carolina Panthers (1),W 49-15,W -3,,Arizona Cardinals (2),O 47.5
Super Bowl 50,Sun,Feb 7 2016,6:39,N,Carolina Panthers (1),L 10-24,L -5,,Denver Broncos (1),U 43.5
